Total_Fare,Airways,Duration,Hopping,Taken_Day,Dept_Day,Days_To_Dept,Session,FlightGroup
6768.0,6,160,0,4,3,12,2,22
6768.0,6,160,0,4,3,12,1,21
6768.0,6,165,0,4,3,12,2,22
6768.0,6,175,0,4,3,12,1,21
6887.0,2,170,0,4,3,12,0,6
7083.0,4,485,0,4,3,12,0,17
7171.0,0,165,0,4,3,12,3,3
7281.0,3,155,0,4,3,12,1,11
7281.0,3,170,0,4,3,12,0,10
7281.0,3,175,0,4,3,12,2,12
7713.0,6,160,0,4,3,12,2,22
7855.0,4,400,0,4,3,12,2,19
7888.0,2,285,0,4,3,12,0,6
8011.0,0,170,0,4,3,12,0,0
8436.0,3,180,0,4,3,12,0,10
8464.0,2,275,0,4,3,12,0,6
8464.0,2,275,0,4,3,12,0,6
8671.0,2,170,0,4,3,12,0,6
9928.0,2,175,0,4,3,12,0,6
11444.0,3,180,0,4,3,12,0,10
11791.0,0,165,0,4,3,12,1,1
12841.0,0,165,0,4,3,12,2,2
13051.0,0,165,0,4,3,12,0,0
3579.0,2,170,0,4,1,13,1,7
3579.0,2,170,0,4,1,13,1,7
3784.0,1,165,0,4,1,13,1,4
3900.0,3,155,0,4,1,13,1,11
3925.0,2,165,0,4,1,13,3,9
3925.0,2,175,0,4,1,13,1,7
3925.0,2,175,0,4,1,13,1,7
4126.0,0,170,0,4,1,13,1,1
4220.0,1,160,0,4,1,13,3,5
4377.0,2,165,0,4,1,13,1,7
4377.0,2,170,0,4,1,13,3,9
4377.0,2,180,0,4,1,13,2,8
4530.0,3,165,0,4,1,13,3,13
4530.0,3,175,0,4,1,13,2,12
4696.0,2,245,0,4,1,13,2,8
5160.0,3,165,0,4,1,13,2,12
5259.0,4,170,0,4,1,13,1,18
5554.0,2,165,0,4,1,13,3,9
5995.0,4,170,0,4,1,13,3,20
5995.0,4,175,0,4,1,13,2,19
6444.0,2,285,0,4,1,13,3,9
6768.0,6,160,0,4,1,13,2,22
6768.0,6,160,0,4,1,13,2,22
6768.0,6,160,0,4,1,13,1,21
6768.0,6,165,0,4,1,13,2,22
6768.0,6,175,0,4,1,13,1,21
6887.0,2,170,0,4,1,13,0,6
6887.0,2,170,0,4,1,13,0,6
6887.0,2,175,0,4,1,13,2,8
6887.0,2,175,0,4,1,13,0,6
6995.0,4,485,1,4,1,13,0,17
7171.0,0,165,0,4,1,13,3,3
7171.0,0,165,0,4,1,13,2,2
7171.0,0,165,0,4,1,13,0,0
7171.0,0,170,0,4,1,13,0,0
7253.0,2,275,0,4,1,13,0,6
7281.0,3,170,0,4,1,13,0,10
7281.0,3,175,0,4,1,13,2,12
7281.0,3,180,0,4,1,13,0,10
7281.0,3,180,0,4,1,13,0,10
7779.0,2,275,1,4,1,13,0,6
8304.0,2,260,0,4,1,13,0,6
8591.0,4,400,0,4,1,13,2,19
3417.0,2,170,0,4,5,14,1,7
3579.0,2,165,0,4,5,14,1,7
3579.0,2,165,0,4,5,14,3,9
3579.0,2,170,0,4,5,14,1,7
3784.0,1,160,0,4,5,14,3,5
3784.0,1,165,0,4,5,14,1,4
3900.0,3,155,0,4,5,14,1,11
3900.0,3,165,0,4,5,14,3,13
3900.0,3,175,0,4,5,14,2,12
3925.0,2,175,0,4,5,14,1,7
3925.0,2,175,0,4,5,14,1,7
3925.0,2,180,0,4,5,14,2,8
4143.0,6,160,0,4,5,14,1,21
4143.0,6,175,0,4,5,14,1,21
4530.0,3,165,0,4,5,14,2,12
4644.0,2,170,0,4,5,14,3,9
4696.0,2,245,0,4,5,14,2,8
5193.0,6,160,0,4,5,14,2,22
5193.0,6,165,0,4,5,14,2,22
6243.0,6,160,0,4,5,14,2,22
6444.0,2,285,0,4,5,14,3,9
6444.0,2,295,0,4,5,14,0,6
6628.0,2,285,0,4,5,14,0,6
6887.0,4,170,0,4,5,14,3,20
6887.0,2,170,0,4,5,14,0,6
6887.0,4,170,0,4,5,14,1,18
6887.0,2,175,0,4,5,14,2,8
7171.0,0,165,0,4,5,14,2,2
7171.0,0,165,0,4,5,14,1,1
7171.0,0,170,0,4,5,14,0,0
7171.0,0,180,0,4,5,14,3,3
7228.0,4,175,0,4,5,14,2,19
7253.0,2,275,0,4,5,14,0,6
7253.0,2,275,0,4,5,14,0,6
7281.0,3,165,0,4,5,14,0,10
7281.0,3,175,0,4,5,14,2,12
7281.0,3,180,0,4,5,14,0,10
7281.0,3,180,0,4,5,14,0,10
7999.0,4,400,0,4,5,14,2,19
3417.0,2,170,0,4,6,15,1,7
3480.0,3,175,0,4,6,15,2,12
3579.0,2,165,0,4,6,15,1,7
3579.0,2,165,0,4,6,15,3,9
3579.0,2,170,0,4,6,15,3,9
